id,GX46,GX36,NT36,NT46,GX12,GX22,GX16,GX26,GX42,GX31,GX41,GX32,gioi,tongham2,tongham3
88,13.68,13.53,12.346,12.815,8.72,8.38,12.29,12.06,7.81,6.85,6.27,7.77,2,28.41,27
89,11.86,12.28,10.583,10.541,7.78,7.54,10.96,10.98,6.51,5.73,5.53,6.36,2,24.13,22.21
90,11.52,11.74,11.293,11.068,7.58,7.61,10.89,10.86,6.15,5.46,5.32,6.06,2,23.67,22.31
91,11.29,11.11,10.937,10.944,7.52,7.85,10.48,10.67,6.22,6.01,5.82,5.8,2,24.33,22.29
92,12.11,12.15,11.147,11.422,7.82,7.57,11.27,10.82,6.23,5.67,5.59,6.45,2,22.14,21.13
93,11.70,11.78,11.514,11.387,7.27,7.64,10.55,10.7,6.53,5.73,5.94,6.32,2,24.47,23.49
94,11.72,11.47,10.864,10.966,7.51,7.8,10.21,10.19,7.35,6.16,6.11,6.7,2,23.43,22.45
95,11.69,11.69,10.738,10.945,7.79,7.62,10.94,11.11,6.58,5.62,5.34,6.4,2,24.9,23.31
96,11.14,11.05,10.399,10.614,7.08,8,10.49,10.5,6.12,5.6,5.54,6.06,1,24.02,21.96
97,11.32,11.43,10.622,10.890,7.74,7.6,10.29,10.4,6.6,5.87,5.91,6.69,1,21.59,21.53
98,11.75,11.31,10.654,10.901,7.46,7.23,11.05,10.61,6.21,5.51,5.42,6.09,2,22.68,21.23
99,11.83,11.51,11.126,11.215,7.2,6.88,10.64,10.85,6.19,5.75,5.91,6.42,2,23.24,22.27
100,12.89,12.90,11.473,11.466,7.43,7.63,11.77,11.66,6.72,6.42,6.36,6.8,2,25.09,23.99
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
